trial_number,sim_iter_0,sim_iter_1,sim_iter_2,sim_iter_3,sim_iter_4,sim_iter_5,sim_iter_6,sim_iter_7,sim_iter_8,sim_iter_9,sim_iter_10,sim_iter_11,sim_iter_12,sim_iter_13,sim_iter_14,sim_iter_15,sim_iter_16,sim_iter_17,sim_iter_18,sim_iter_19,sim_iter_20,sim_iter_21,sim_iter_22,sim_iter_23,sim_iter_24,sim_iter_25,sim_iter_26,sim_iter_27,sim_iter_28,sim_iter_29,sim_iter_30,sim_iter_31,sim_iter_32,sim_iter_33,sim_iter_34,sim_iter_35,sim_iter_36,sim_iter_37,sim_iter_38,sim_iter_39,sim_iter_40,sim_iter_41,sim_iter_42,sim_iter_43,sim_iter_44,sim_iter_45,sim_iter_46,sim_iter_47,sim_iter_48,sim_iter_49,sim_iter_50,hap_iter_0,hap_iter_1,hap_iter_2,hap_iter_3,hap_iter_4,hap_iter_5,hap_iter_6,hap_iter_7,hap_iter_8,hap_iter_9,hap_iter_10,hap_iter_11,hap_iter_12,hap_iter_13,hap_iter_14,hap_iter_15,hap_iter_16,hap_iter_17,hap_iter_18,hap_iter_19,hap_iter_20,hap_iter_21,hap_iter_22,hap_iter_23,hap_iter_24,hap_iter_25,hap_iter_26,hap_iter_27,hap_iter_28,hap_iter_29,hap_iter_30,hap_iter_31,hap_iter_32,hap_iter_33,hap_iter_34,hap_iter_35,hap_iter_36,hap_iter_37,hap_iter_38,hap_iter_39,hap_iter_40,hap_iter_41,hap_iter_42,hap_iter_43,hap_iter_44,hap_iter_45,hap_iter_46,hap_iter_47,hap_iter_48,hap_iter_49,hap_iter_50
0,0.45967741935483863,0.4811827956989247,0.49677419354838703,0.5451612903225806,0.5806451612903226,0.5913978494623655,0.5983870967741935,0.6365591397849463,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.7096774193548387,0.7419354838709677,0.8064516129032258,0.8387096774193549,0.8709677419354839,0.9032258064516129,0.9354838709677419,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.5614942528735631,0.5614942528735631,0.6051724137931035,0.6431034482758622,0.6643678160919542,0.7085385878489326,0.7477011494252873,0.7804597701149425,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7885057471264368,0.7586206896551724,0.7931034482758621,0.8275862068965517,0.8620689655172413,0.896551724137931,0.896551724137931,0.9310344827586207,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.5151260504201681,0.5478291316526612,0.5642156862745099,0.5903361344537816,0.5953781512605044,0.5953781512605044,0.6471988795518209,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.6829831932773109,0.7647058823529411,0.8235294117647058,0.8529411764705882,0.8823529411764706,0.9117647058823529,0.9411764705882353,0.9705882352941176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.4979076479076479,0.5282106782106782,0.5458152958152959,0.5842712842712844,0.6266955266955266,0.651948051948052,0.6873015873015874,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7100288600288601,0.7272727272727273,0.7575757575757576,0.7878787878787878,0.8181818181818182,0.8787878787878788,0.9090909090909091,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.4241379310344828,0.48735632183908045,0.5448275862068965,0.5678160919540229,0.5672413793103448,0.5925287356321838,0.6063218390804598,0.6385057471264367,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.6982758620689655,0.7241379310344828,0.7586206896551724,0.7931034482758621,0.8275862068965517,0.8620689655172413,0.896551724137931,0.9310344827586207,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.5771604938271606,0.6197530864197531,0.6074074074074075,0.6228395061728395,0.6660493827160494,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7407407407407407,0.8148148148148148,0.8888888888888888,0.9259259259259259,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.5218750000000001,0.5541666666666667,0.5885416666666667,0.5885416666666667,0.6286458333333333,0.6468750000000001,0.6755208333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.75,0.78125,0.8125,0.84375,0.90625,0.9375,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.39385964912280697,0.4355263157894737,0.46008771929824566,0.4473684210526316,0.45701754385964916,0.48157894736842105,0.5074561403508772,0.5144736842105262,0.5289473684210526,0.5372807017543859,0.5456140350877192,0.568984962406015,0.5790726817042606,0.5957393483709273,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.6137218045112782,0.7105263157894737,0.7368421052631579,0.7631578947368421,0.7631578947368421,0.7894736842105263,0.8157894736842105,0.8421052631578947,0.8421052631578947,0.868421052631579,0.8947368421052632,0.8947368421052632,0.9210526315789473,0.9473684210526315,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.5192982456140351,0.5346491228070175,0.562406015037594,0.5677318295739349,0.5863408521303258,0.5911654135338346,0.6191102756892229,0.6432330827067668,0.6638471177944861,0.707080200501253,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7214912280701754,0.7105263157894737,0.7368421052631579,0.7631578947368421,0.7894736842105263,0.8421052631578947,0.868421052631579,0.8947368421052632,0.9210526315789473,0.9473684210526315,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.6145833333333333,0.6197916666666666,0.6552083333333333,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.6968749999999999,0.875,0.90625,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
