trial_number,sim_iter_0,sim_iter_1,sim_iter_2,sim_iter_3,sim_iter_4,sim_iter_5,sim_iter_6,sim_iter_7,sim_iter_8,sim_iter_9,sim_iter_10,sim_iter_11,sim_iter_12,sim_iter_13,sim_iter_14,sim_iter_15,sim_iter_16,sim_iter_17,sim_iter_18,sim_iter_19,sim_iter_20,sim_iter_21,sim_iter_22,sim_iter_23,sim_iter_24,sim_iter_25,sim_iter_26,sim_iter_27,sim_iter_28,sim_iter_29,sim_iter_30,sim_iter_31,sim_iter_32,sim_iter_33,sim_iter_34,sim_iter_35,sim_iter_36,sim_iter_37,sim_iter_38,sim_iter_39,sim_iter_40,sim_iter_41,sim_iter_42,sim_iter_43,sim_iter_44,sim_iter_45,sim_iter_46,sim_iter_47,sim_iter_48,sim_iter_49,sim_iter_50,hap_iter_0,hap_iter_1,hap_iter_2,hap_iter_3,hap_iter_4,hap_iter_5,hap_iter_6,hap_iter_7,hap_iter_8,hap_iter_9,hap_iter_10,hap_iter_11,hap_iter_12,hap_iter_13,hap_iter_14,hap_iter_15,hap_iter_16,hap_iter_17,hap_iter_18,hap_iter_19,hap_iter_20,hap_iter_21,hap_iter_22,hap_iter_23,hap_iter_24,hap_iter_25,hap_iter_26,hap_iter_27,hap_iter_28,hap_iter_29,hap_iter_30,hap_iter_31,hap_iter_32,hap_iter_33,hap_iter_34,hap_iter_35,hap_iter_36,hap_iter_37,hap_iter_38,hap_iter_39,hap_iter_40,hap_iter_41,hap_iter_42,hap_iter_43,hap_iter_44,hap_iter_45,hap_iter_46,hap_iter_47,hap_iter_48,hap_iter_49,hap_iter_50
0,0.48644480519480526,0.5132034632034632,0.5139610389610391,0.5303030303030304,0.5455627705627706,0.5701839826839827,0.578896103896104,0.596969696969697,0.6131493506493507,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.6422619047619048,0.7954545454545454,0.8181818181818182,0.8409090909090909,0.8636363636363636,0.8863636363636364,0.9090909090909091,0.9318181818181818,0.9545454545454546,0.9772727272727273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.5210801393728223,0.5308943089430894,0.5447154471544716,0.5752032520325204,0.6085365853658536,0.6299651567944251,0.6462253193960511,0.6669570267131244,0.685191637630662,0.7038327526132405,0.7269454123112661,0.7521486643437864,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7730545876887341,0.7560975609756098,0.7560975609756098,0.7804878048780488,0.8292682926829268,0.8536585365853658,0.8536585365853658,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.926829268292683,0.9512195121951219,0.975609756097561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.4943386243386243,0.5079629629629627,0.5423544973544973,0.5570634920634919,0.5799999999999998,0.5799999999999998,0.5998412698412697,0.6158730158730158,0.6358201058201058,0.6467724867724869,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.668888888888889,0.7555555555555555,0.7777777777777778,0.8222222222222222,0.8444444444444444,0.8666666666666667,0.8888888888888888,0.9111111111111111,0.9333333333333333,0.9555555555555556,0.9777777777777777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.41326190476190466,0.4356904761904762,0.4530476190476192,0.4617619047619048,0.5017142857142858,0.5055,0.5123809523809524,0.5250952380952382,0.5436190476190477,0.5505714285714286,0.581047619047619,0.6043809523809525,0.6326190476190476,0.6486190476190479,0.6756190476190476,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.6832857142857143,0.8,0.82,0.84,0.86,0.88,0.88,0.86,0.86,0.88,0.9,0.92,0.94,0.96,0.98,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.48719512195121945,0.5008710801393728,0.5151567944250871,0.5507549361207897,0.567711962833914,0.6111498257839723,0.6217189314750291,0.6376596980255517,0.6587979094076655,0.6887921022067365,0.7067944250871081,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7418118466898955,0.7560975609756098,0.7804878048780488,0.8048780487804879,0.8292682926829268,0.8536585365853658,0.8780487804878049,0.9024390243902439,0.926829268292683,0.9512195121951219,0.9512195121951219,0.975609756097561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.49711904761904757,0.497142857142857,0.5086190476190475,0.5496190476190476,0.5577142857142856,0.58,0.5987142857142858,0.601047619047619,0.6284999999999998,0.6406428571428571,0.6560238095238095,0.6664285714285714,0.6782857142857144,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.7014999999999999,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.96,0.96,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.43747412008281567,0.4584886128364389,0.4697204968944099,0.5128364389233954,0.5139233954451347,0.5487060041407869,0.5687888198757765,0.5947722567287785,0.6270186335403727,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.6569875776397516,0.782608695652174,0.8043478260869565,0.8260869565217391,0.8913043478260869,0.9130434782608695,0.9347826086956522,0.9347826086956522,0.9565217391304348,0.9782608695652174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.5165079365079364,0.5427513227513228,0.5544973544973544,0.5589417989417989,0.5704232804232805,0.575978835978836,0.5956613756613757,0.6121164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.6321164021164021,0.8444444444444444,0.8666666666666667,0.8888888888888888,0.8888888888888888,0.9111111111111111,0.9333333333333333,0.9555555555555556,0.9777777777777777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.48838624338624337,0.4994973544973545,0.5006084656084655,0.5087566137566136,0.517116402116402,0.5452645502645502,0.5661904761904762,0.5821693121693123,0.5754497354497357,0.611005291005291,0.6050793650793651,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.6301322751322751,0.7555555555555555,0.7777777777777778,0.8,0.8222222222222222,0.8444444444444444,0.8444444444444444,0.8666666666666667,0.8888888888888888,0.8888888888888888,0.9333333333333333,0.9777777777777777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.4810981535471331,0.5069484936831876,0.5239552964042761,0.5492711370262392,0.5581146744412052,0.581681243926142,0.6133624878522839,0.6380952380952382,0.6611273080660837,0.6744169096209912,0.6874635568513119,0.6840136054421768,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7093294460641398,0.7551020408163265,0.7755102040816326,0.7959183673469388,0.8367346938775511,0.8571428571428571,0.8775510204081632,0.9183673469387755,0.9387755102040817,0.9387755102040817,0.9591836734693877,0.9795918367346939,0.9795918367346939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
