trial_number,sim_iter_0,sim_iter_1,sim_iter_2,sim_iter_3,sim_iter_4,sim_iter_5,sim_iter_6,sim_iter_7,sim_iter_8,sim_iter_9,sim_iter_10,sim_iter_11,sim_iter_12,sim_iter_13,sim_iter_14,sim_iter_15,sim_iter_16,sim_iter_17,sim_iter_18,sim_iter_19,sim_iter_20,sim_iter_21,sim_iter_22,sim_iter_23,sim_iter_24,sim_iter_25,sim_iter_26,sim_iter_27,sim_iter_28,sim_iter_29,sim_iter_30,sim_iter_31,sim_iter_32,sim_iter_33,sim_iter_34,sim_iter_35,sim_iter_36,sim_iter_37,sim_iter_38,sim_iter_39,sim_iter_40,sim_iter_41,sim_iter_42,sim_iter_43,sim_iter_44,sim_iter_45,sim_iter_46,sim_iter_47,sim_iter_48,sim_iter_49,sim_iter_50,hap_iter_0,hap_iter_1,hap_iter_2,hap_iter_3,hap_iter_4,hap_iter_5,hap_iter_6,hap_iter_7,hap_iter_8,hap_iter_9,hap_iter_10,hap_iter_11,hap_iter_12,hap_iter_13,hap_iter_14,hap_iter_15,hap_iter_16,hap_iter_17,hap_iter_18,hap_iter_19,hap_iter_20,hap_iter_21,hap_iter_22,hap_iter_23,hap_iter_24,hap_iter_25,hap_iter_26,hap_iter_27,hap_iter_28,hap_iter_29,hap_iter_30,hap_iter_31,hap_iter_32,hap_iter_33,hap_iter_34,hap_iter_35,hap_iter_36,hap_iter_37,hap_iter_38,hap_iter_39,hap_iter_40,hap_iter_41,hap_iter_42,hap_iter_43,hap_iter_44,hap_iter_45,hap_iter_46,hap_iter_47,hap_iter_48,hap_iter_49,hap_iter_50
0,0.4409420289855073,0.46992753623188405,0.4837991718426501,0.47220496894409936,0.4830745341614907,0.4979813664596274,0.5119565217391305,0.5302277432712217,0.5593167701863354,0.572256728778468,0.5892857142857143,0.6081262939958592,0.6197722567287784,0.6423913043478261,0.6454192546583851,0.6738871635610766,0.6834368530020705,0.7037267080745342,0.7210662525879917,0.7328933747412008,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.7582556935817806,0.6521739130434783,0.6739130434782609,0.717391304347826,0.7391304347826086,0.7608695652173914,0.8043478260869565,0.8043478260869565,0.8260869565217391,0.8260869565217391,0.8478260869565217,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8913043478260869,0.9130434782608695,0.9130434782608695,0.9347826086956522,0.9565217391304348,0.9782608695652174,0.9782608695652174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.511417748917749,0.5347132034632035,0.5589556277056279,0.5740530303030303,0.6001082251082251,0.6134740259740259,0.6393939393939394,0.6583333333333333,0.6803030303030303,0.6877435064935065,0.7076839826839828,0.718939393939394,0.7312770562770563,0.749025974025974,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.7698593073593074,0.6590909090909091,0.7045454545454546,0.7272727272727273,0.75,0.7954545454545454,0.8409090909090909,0.8863636363636364,0.9090909090909091,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.9545454545454546,0.9772727272727273,0.9772727272727273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.49558652729384445,0.4987804878048782,0.5220092915214868,0.5595238095238096,0.5912891986062718,0.6218060394889663,0.6665214866434379,0.6792102206736353,0.6991289198606273,0.7101045296167248,0.729616724738676,0.7491289198606272,0.771864111498258,0.8072009291521488,0.8210511033681765,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.838472706155633,0.6585365853658537,0.6829268292682927,0.7073170731707317,0.7560975609756098,0.7804878048780488,0.8048780487804879,0.8292682926829268,0.8536585365853658,0.8536585365853658,0.8780487804878049,0.9024390243902439,0.926829268292683,0.9512195121951219,0.975609756097561,0.975609756097561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.4954042081949058,0.503765227021041,0.5276854928017719,0.5412513842746403,0.5578073089700997,0.5642303433001108,0.5646179401993355,0.5781838316722038,0.575359911406423,0.5842746400885935,0.589202657807309,0.5976744186046511,0.6023255813953488,0.6259689922480621,0.6378183831672205,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6602990033222593,0.6744186046511628,0.6976744186046512,0.7209302325581395,0.7674418604651163,0.7674418604651163,0.7906976744186046,0.813953488372093,0.8372093023255814,0.8604651162790697,0.8837209302325582,0.8837209302325582,0.9302325581395349,0.9534883720930233,0.9534883720930233,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.5416909620991254,0.5648202137998056,0.5821671525753158,0.5894557823129251,0.6154518950437318,0.6263848396501458,0.6312925170068027,0.6502429543245869,0.6604470359572402,0.6642614188532556,0.6750485908649173,0.6995383867832848,0.7097424684159379,0.7146015549076775,0.7358600583090383,0.7359329446064142,0.7496355685131196,0.7540573372206025,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7843537414965985,0.7551020408163265,0.7755102040816326,0.7959183673469388,0.8775510204081632,0.8979591836734694,0.8775510204081632,0.8979591836734694,0.9183673469387755,0.9183673469387755,0.9183673469387755,0.8979591836734694,0.9183673469387755,0.9387755102040817,0.9183673469387755,0.9591836734693877,0.9591836734693877,0.9795918367346939,0.9795918367346939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.46910299003322264,0.48145071982281284,0.49916943521594687,0.5378183831672203,0.5566998892580287,0.585548172757475,0.59562569213732,0.6121816168327797,0.6284606866002215,0.6407530454042082,0.670985603543743,0.6941306755260245,0.7173864894795128,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.7322259136212624,0.627906976744186,0.6511627906976745,0.6976744186046512,0.7209302325581395,0.7674418604651163,0.7906976744186046,0.813953488372093,0.8604651162790697,0.8837209302325582,0.9069767441860465,0.9302325581395349,0.9534883720930233,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.46785714285714286,0.48702380952380964,0.5078571428571429,0.5124404761904763,0.538154761904762,0.5635714285714286,0.5751785714285715,0.609107142857143,0.6232738095238095,0.6736904761904763,0.6780357142857143,0.6892857142857143,0.6930357142857143,0.700952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.705952380952381,0.65,0.675,0.725,0.75,0.75,0.775,0.8,0.825,0.825,0.875,0.9,0.925,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.6720238095238095,0.7110714285714286,0.7330357142857145,0.7564880952380955,0.7597619047619049,0.771011904761905,0.7676785714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.7864285714285717,0.825,0.875,0.925,0.95,0.95,0.95,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.4943521594684387,0.5101328903654487,0.5266888150609083,0.5387043189368772,0.5526578073089702,0.5665005537098562,0.5751937984496125,0.5976190476190477,0.6277131782945736,0.6487541528239203,0.64952934662237,0.6696843853820599,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.7075581395348838,0.6976744186046512,0.7209302325581395,0.7441860465116279,0.7674418604651163,0.7906976744186046,0.8372093023255814,0.8604651162790697,0.8837209302325582,0.9069767441860465,0.9302325581395349,0.9534883720930233,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.4594426406926406,0.4768939393939394,0.49329004329004333,0.5034632034632035,0.5179653679653681,0.5201298701298702,0.5348214285714287,0.5848214285714287,0.5859577922077923,0.5969426406926408,0.6211850649350651,0.6362012987012988,0.6491612554112556,0.6737824675324676,0.7040584415584417,0.7419642857142857,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.7623376623376624,0.5681818181818182,0.6363636363636364,0.7045454545454546,0.75,0.7954545454545454,0.7954545454545454,0.8181818181818182,0.8409090909090909,0.8636363636363636,0.8636363636363636,0.8863636363636364,0.8863636363636364,0.9090909090909091,0.9318181818181818,0.9545454545454546,0.9772727272727273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
