max_walking_distance,10
trial_number,sim_iter_0,sim_iter_1,sim_iter_2,sim_iter_3,sim_iter_4,sim_iter_5,sim_iter_6,sim_iter_7,sim_iter_8,sim_iter_9,sim_iter_10,sim_iter_11,sim_iter_12,sim_iter_13,sim_iter_14,sim_iter_15,sim_iter_16,sim_iter_17,sim_iter_18,sim_iter_19,sim_iter_20,sim_iter_21,sim_iter_22,sim_iter_23,sim_iter_24,sim_iter_25,sim_iter_26,sim_iter_27,sim_iter_28,sim_iter_29,sim_iter_30,sim_iter_31,sim_iter_32,sim_iter_33,sim_iter_34,sim_iter_35,sim_iter_36,sim_iter_37,sim_iter_38,sim_iter_39,sim_iter_40,sim_iter_41,sim_iter_42,sim_iter_43,sim_iter_44,sim_iter_45,sim_iter_46,sim_iter_47,sim_iter_48,sim_iter_49,sim_iter_50,hap_iter_0,hap_iter_1,hap_iter_2,hap_iter_3,hap_iter_4,hap_iter_5,hap_iter_6,hap_iter_7,hap_iter_8,hap_iter_9,hap_iter_10,hap_iter_11,hap_iter_12,hap_iter_13,hap_iter_14,hap_iter_15,hap_iter_16,hap_iter_17,hap_iter_18,hap_iter_19,hap_iter_20,hap_iter_21,hap_iter_22,hap_iter_23,hap_iter_24,hap_iter_25,hap_iter_26,hap_iter_27,hap_iter_28,hap_iter_29,hap_iter_30,hap_iter_31,hap_iter_32,hap_iter_33,hap_iter_34,hap_iter_35,hap_iter_36,hap_iter_37,hap_iter_38,hap_iter_39,hap_iter_40,hap_iter_41,hap_iter_42,hap_iter_43,hap_iter_44,hap_iter_45,hap_iter_46,hap_iter_47,hap_iter_48,hap_iter_49,hap_iter_50
0,0.4517543859649124,0.467543859649123,0.48464912280701766,0.4973684210526316,0.5000000000000001,0.537280701754386,0.5504385964912281,0.5706140350877194,0.5964912280701755,0.6223684210526316,0.6600877192982457,0.6864035087719299,0.7004385964912281,0.7021929824561405,0.7214912280701755,0.7394736842105264,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.7596491228070177,0.631578947368421,0.631578947368421,0.6578947368421053,0.7105263157894737,0.7368421052631579,0.7631578947368421,0.7894736842105263,0.8157894736842105,0.8421052631578947,0.868421052631579,0.8947368421052632,0.8947368421052632,0.9210526315789473,0.9473684210526315,0.9473684210526315,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.5807692307692309,0.6055555555555555,0.6440170940170942,0.650854700854701,0.6884615384615385,0.7151404151404152,0.7288156288156288,0.7485958485958487,0.7721001221001222,0.7903540903540905,0.8087301587301589,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.8307081807081806,0.7692307692307693,0.7948717948717948,0.8205128205128205,0.8205128205128205,0.8717948717948718,0.8974358974358975,0.9230769230769231,0.9487179487179487,0.9743589743589743,0.9487179487179487,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.5669345238095238,0.5807738095238097,0.5978571428571431,0.6123809523809525,0.6313095238095239,0.6572619047619048,0.6761309523809523,0.6915476190476191,0.71375,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.7240476190476192,0.8,0.85,0.875,0.9,0.85,0.875,0.9,0.95,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.492450638792102,0.5011033681765388,0.5085365853658536,0.5220673635307782,0.5386178861788617,0.5607723577235774,0.5778455284552847,0.588124274099884,0.605255516840883,0.6362369337979096,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.6479094076655054,0.7317073170731707,0.8048780487804879,0.8292682926829268,0.8292682926829268,0.8536585365853658,0.9024390243902439,0.926829268292683,0.9512195121951219,0.975609756097561,0.975609756097561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.517403628117914,0.5336734693877552,0.5429705215419501,0.5731292517006805,0.5938208616780046,0.5997448979591837,0.6203798185941043,0.6551587301587303,0.6710317460317461,0.6634920634920635,0.7113945578231292,0.7275510204081632,0.7275510204081632,0.7479024943310657,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.7657879818594104,0.6428571428571429,0.6904761904761905,0.7142857142857143,0.7142857142857143,0.7380952380952381,0.7380952380952381,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.8333333333333334,0.8571428571428571,0.8809523809523809,0.8809523809523809,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
5,0.5044715447154472,0.5385017421602788,0.559233449477352,0.5636469221835076,0.580720092915215,0.598199767711963,0.6101045296167249,0.6263646922183508,0.6628048780487805,0.6783681765389082,0.6949767711962833,0.7242160278745644,0.7653890824622532,0.774274099883856,0.8139372822299654,0.8361788617886179,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.8627758420441348,0.7073170731707317,0.7317073170731707,0.7560975609756098,0.7560975609756098,0.7560975609756098,0.7804878048780488,0.8048780487804879,0.8292682926829268,0.8536585365853658,0.8780487804878049,0.9024390243902439,0.926829268292683,0.9512195121951219,0.926829268292683,0.9512195121951219,0.975609756097561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.5509398496240603,0.561904761904762,0.5890350877192984,0.6049498746867168,0.6240601503759399,0.6656015037593986,0.6961152882205515,0.718045112781955,0.7523809523809525,0.7585213032581454,0.7907894736842107,0.817543859649123,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.8460526315789475,0.7631578947368421,0.7894736842105263,0.8157894736842105,0.8157894736842105,0.8421052631578947,0.8421052631578947,0.868421052631579,0.8947368421052632,0.9210526315789473,0.9210526315789473,0.9473684210526315,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.4669312169312167,0.47285714285714264,0.49669312169312163,0.5022751322751322,0.511904761904762,0.5537037037037037,0.5642857142857143,0.5868783068783069,0.6029629629629629,0.6299206349206349,0.6546296296296297,0.6768518518518519,0.697910052910053,0.7047883597883599,0.7375925925925927,0.7435185185185186,0.7524074074074074,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.7703968253968254,0.6444444444444445,0.6666666666666666,0.7111111111111111,0.7333333333333333,0.7777777777777778,0.8444444444444444,0.8444444444444444,0.8666666666666667,0.8888888888888888,0.9111111111111111,0.9333333333333333,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9777777777777777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.5100498338870433,0.5161960132890365,0.5247231450719824,0.5395071982281285,0.5530730897009967,0.5736157253599115,0.5871816168327796,0.6169712070874862,0.6316168327796235,0.6559246954595791,0.675249169435216,0.675249169435216,0.6886212624584719,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.7196290143964563,0.6744186046511628,0.7209302325581395,0.7209302325581395,0.7209302325581395,0.7441860465116279,0.7906976744186046,0.813953488372093,0.8372093023255814,0.8372093023255814,0.8604651162790697,0.9069767441860465,0.9302325581395349,0.9534883720930233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.5136469221835073,0.527642276422764,0.536991869918699,0.5641114982578396,0.5787456445993031,0.5945993031358885,0.6088269454123113,0.6421602787456447,0.6709059233449479,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.691898954703833,0.7560975609756098,0.7804878048780488,0.8048780487804879,0.8292682926829268,0.8536585365853658,0.9024390243902439,0.926829268292683,0.9512195121951219,0.975609756097561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
